country,country_code,region,income_group,year,WBL INDEX,can_choose_residence,can_travel_domestic,can_apply_passport,can_travel_abroad,get_job,no_gender_discrimination_employment,sexual_harassment_legislation,sexual_harassment_penalties,no_gender_discrimination_credit,can_sign_contract,can_register_business,can_open_bank_account
"Bahamas, The",BHS,Latin America & Caribbean,High income,2020,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2021,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2022,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2023,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2024,81.3,1,1,1,1,1,1,1,1,0,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2015,35.0,0,0,1,1,0,1,0,0,0,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2016,35.0,0,0,1,1,0,1,0,0,0,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2017,37.5,0,0,1,1,0,1,0,0,0,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2018,37.5,0,0,1,1,0,1,0,0,0,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2019,40.0,0,0,1,1,0,1,0,0,0,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2020,46.3,0,0,1,1,0,1,1,1,0,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2021,55.6,0,0,1,1,0,1,1,1,1,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2022,65.0,0,0,1,1,0,1,1,1,1,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2023,68.1,0,0,1,1,0,1,1,1,1,1,1,1
Bahrain,BHR,Middle East & North Africa,High income,2024,68.1,0,0,1,1,0,1,1,1,1,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2015,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2016,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2017,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2018,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2019,49.4,1,1,1,1,1,0,1,0,0,1,1,1
Bangladesh,BGD,South Asia,Lower middle income,2020,49.4,1,1,1,1,1,0,1,0,0,1,1,1
